vectorizer,model_name,f1_score
sbert,dt,0.893712428079324
sbert,mlp,0.9130678397497008
sbert,svm,0.8998504816974118
tfidf,dt,0.8303442658245607
tfidf,mlp,0.9150547443294534
tfidf,svm,0.9170835127766493
