vectorizer,model_name,f1_score
doc2vec,dt,0.29675831370022954
doc2vec,mlp,0.3581902583460134
doc2vec,svm,0.3185965037285915
sbert,dt,0.6092599873171219
sbert,mlp,0.6379458058331864
sbert,svm,0.6538444512305901
tfidf,dt,0.5581726133792548
tfidf,mlp,0.6248994958410259
tfidf,svm,0.6112481146158643
