vectorizer,model_name,f1_score
doc2vec,dt_llm,0.18315880474891513
doc2vec,mlp_llm,0.20945591126748314
doc2vec,svm_llm,0.22169655855578563
sbert,dt_llm,0.6605969464924267
sbert,mlp_llm,0.654628166450304
sbert,svm_llm,0.6866597625004077
tfidf,dt_llm,0.5640120162485953
tfidf,mlp_llm,0.64507403371911
tfidf,svm_llm,0.6313066715023186
